id,name,state_id,lat,lng
770,Nimbahera,8,27.85,75.27
771,Nokha,8,24.62,74.68
772,Pali,8,27.6,73.42
773,Rajsamand,8,25.79,73.32
774,Ratangarh,8,25.07,73.88
775,Sardarshahr,8,28.09,74.6
776,Sawai Madhopur,8,28.45,74.48
777,Sikar,8,26.03,76.34
778,Sujangarh,8,27.61,75.13
779,Suratgarh,8,27.7,74.46
780,Tonk,8,29.32,73.9
781,Udaipur,8,26.17,75.78
782,Alandur,33,24.58,73.69
783,Ambattur,33,13.03,80.23
784,Ambur,33,13.11,80.17
785,Arakonam,33,12.8,78.72
786,Arani,33,13.08,79.67
787,Aruppukkottai,33,12.68,79.28
788,Attur,33,9.51,78.09
789,Avadi,33,11.6,78.6
790,Avaniapuram,33,13.12,80.11
791,Bodinayakkanur,33,9.86,78.12
792,Chengalpattu,33,10.01,77.35
793,Dharapuram,33,12.7,79.97
794,Dharmapuri,33,10.74,77.52
795,Dindigul,33,12.13,78.16
796,Erode,33,10.36,77.97
797,Gopichettipalaiyam,33,11.35,77.73
798,Gudalur,33,11.46,77.43
799,Gudiyattam,33,11.76,79.75
800,Hosur,33,12.95,78.86
801,Idappadi,33,12.72,77.82
802,Kadayanallur,33,11.58,77.85
803,Kambam,33,9.08,77.35
804,Kanchipuram,33,9.74,77.28
805,Karur,33,12.84,79.7
806,Kavundampalaiyam,33,10.96,78.07
807,Kovilpatti,33,11.05,76.92
808,Koyampattur,33,9.19,77.86
809,Krishnagiri,33,11.01,76.96
810,Kumarapalaiyam,33,12.54,78.21
811,Kumbakonam,33,11.44,77.73
812,Kuniyamuthur,33,10.97,79.38
813,Kurichi,33,10.98,76.95
814,Madhavaram,33,10.92,76.96
815,Chennai,33,13.02,80.26
816,Madurai,33,13.09,80.27
817,Maduravoyal,33,9.92,78.12
818,Mannargudi,33,,
819,Mayiladuthurai,33,10.67,79.45
820,Mettupalayam,33,11.11,79.65
821,Mettur,33,11.3,76.94
822,Nagapattinam,33,11.8,77.8
823,Nagercoil,33,10.8,79.84
824,Namakkal,33,8.18,77.43
825,Nerkunram,33,11.23,78.17
826,Neyveli,33,13.04,80.26
827,Pallavaram,33,11.62,79.48
828,Pammal,33,12.99,80.16
829,Pannuratti,33,12.97,80.11
830,Paramakkudi,33,11.78,79.55
831,Pattukkottai,33,9.54,78.59
832,Pollachi,33,10.43,79.31
833,Pudukkottai,33,10.67,77
834,Puliyankudi,33,10.39,78.82
835,Punamalli,33,9.18,77.4
836,Rajapalaiyam,33,13.05,80.11
837,Ramanathapuram,33,9.46,77.55
838,Salem,33,9.37,78.83
839,Sankarankoil,33,11.67,78.16
840,Sivakasi,33,9.17,77.54
841,Srivilliputtur,33,9.46,77.79
842,Tambaram,33,9.52,77.63
843,Tenkasi,33,12.93,80.12
844,Thanjavur,33,8.96,77.31
845,Theni Allinagaram,33,10.79,79.13
846,Thiruthangal,33,10.02,77.48
847,Thiruvarur,33,9.48,77.83
848,Thuthukkudi,33,10.78,79.64
849,Tindivanam,33,8.81,78.14
850,Tiruchchirappalli,33,12.24,79.65
851,Tiruchengode,33,10.81,78.69
852,Tirunelveli,33,11.38,77.9
853,Tirupathur,33,8.73,77.69
854,Tiruppur,33,12.5,78.57
855,Tiruvannamalai,33,11.09,77.35
856,Tiruvottiyur,33,12.24,79.07
857,Udagamandalam,33,13.16,80.29
858,Udumalaipettai,33,11.42,76.69
859,Valparai,33,10.58,77.24
860,Vaniyambadi,33,10.38,76.99
861,Velampalaiyam,33,12.69,78.6
